Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
IEEE Health informatics--Personal health device communication Part 20601: Application profile--Optimized Exchange Protocol - Corrigendum 1,,,IEEE Std 11073-20601-2014/Cor 1-2015 (Corrigendum to IEEE Std 11073-20601-2014),2-Nov-15,2015,,,1,24,"Within the context of the ISO/IEEE 11073 family of standards for device communication, this standard defines a common framework for making an abstract model of personal health data available in transport-independent transfer syntax required to establish logical connections between systems and to provide presentation capabilities and services needed to perform communication tasks. The protocol is optimized to personal health usage requirements and leverages commonly used methods and tools wherever possible. This corrigendum removes the ambiguities and corrects the wrong nomenclature codes and qualifier status that have been identified in IEEE Std 11073-20601-2014 to improve implementation of the standard in an interoperable fashion.;Within the context of the ISO/IEEE 11073 family of standards for device communication, this standard defines a common framework for making an abstract model of personal health data available in transport-independent transfer syntax required to establish logical connections between systems and to provide presentation capabilities and services needed to perform communication tasks. The protocol is optimized to personal health usage requirements and leverages commonly used methods and tools wherever possible. This corrigendum removes the ambiguities and corrects the wrong nomenclature codes and qualifier status that have been identified in IEEE Std 11073-20601-2014 to improve implementation of the standard in an interoperable fashion.",,978-0-7381-9995-5,10.1109/IEEESTD.2015.7314835,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7314835,IEEE 11073(TM);IEEE 11073-20601(TM);medical device communication;personal health devices,IEEE Standards;Medical devices;Informatics;Bioinformatics;Biomedical monitoring;Personal health care devices,,,,0,,2-Nov-15,27 Oct. 2015,,IEEE,IEEE Standards
LiSE: A Personal Booklet for Health Care Annotation,M. Macrì; M. A. Mastratisi; D. Mirarchi; E. De Francesco; L. Granata; G. Tradigo; P. H. Guzzi; P. Veltri,"University Magna Græcia of Catanzaro; Exeura S.r.l., Rende, Italy; University Magna Græcia of Catanzaro; Exeura S.r.l., Rende, Italy; Exeura S.r.l., Rende, Italy; DIMES, University of Calabria, Italy; University Magna Græcia of Catanzaro; University Magna Græcia of Catanzaro",2015 International Conference on Healthcare Informatics,10-Dec-15,2015,,,362,367,"Citizens empowerment in managing their own health process leads to increased demand in ICT services. The use of data management and communication techniques to manage information in health systems can provide benefits. Health information systems contain information to ease care access, reduce costs and make health care more efficient. In this context, we focus on the development of a framework to allow citizens in managing and sharing health related data with clinicians and with family doctors. In fact, citizens can play a crucial role in their own health care. Electronic Clinical Records (ECR) contain all information regarding their own clinical related data which can hence be made available for sharing and management. This work presents LiSE (for Libretto Sanitario Elettronico, health personalized booklet), a system implemented for the Smart Health 2.0 Project, as an instrument of citizen/patient empowerment for managing his own care process and for communicating information with family doctors. LiSE is a health information system for clinical data information management, annotated by citizens, overcoming the lack of communication protocols in the other systems currently in use. We report the LiSE structure, we sketch the practical clinical applications and we report user experiences.",,978-1-4673-9548-9,10.1109/ICHI.2015.51,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7349712,Electronic Clinical Records;Health Process Management;Personalized Clinics,Servers;Interoperability;Protocols;Indexes;Mobile communication;Diseases,,1,,22,IEEE,10-Dec-15,21-23 Oct. 2015,21-23 Oct. 2015,IEEE,IEEE Conferences
eHealth-Extended Care Coordination: Development of a Collaborative System for Inter-municipal Dementia Teams: A Research Project with a User-Centered Design Approach,B. F. Smaradottir; S. Martinez; E. Holen-Rabbersvik; R. Fensli,"Faculty of Engineering and Science and Faculty of Health and Sport Sciences, University of Agder, Kristiansand, Norway; Faculty of Engineering and Science and Faculty of Health and Sport Sciences, University of Agder, Kristiansand, Norway; Faculty of Engineering and Science and Faculty of Health and Sport Sciences, University of Agder, Kristiansand, Norway; Faculty of Engineering and Science and Faculty of Health and Sport Sciences, University of Agder, Kristiansand, Norway",2015 International Conference on Computational Science and Computational Intelligence (CSCI),3-Mar-16,2015,,,749,753,"In Norway, a health reform was recently adopted to improve continuity of care. Services that were carried out in hospitals were transferred to municipalities. Small and medium size municipalities have established inter-municipal cooperation to provide specialized services across borders. The research project eHealth-extended Care Coordination studied the inter-municipal cooperation for assessment of dementia, identifying a need for improved communication and coordination. This paper presents the development process of a collaborative information system for dementia assessment using a user-centered design approach. Mixed methods, such as observations, semi-structured interviews and questionnaire, were used for data collection. The results showed that end-user involvement usefully informed the development. The information system effectively supported collaborative work and shared access to information for the inter-municipal team.",,978-1-4673-9795-7,10.1109/CSCI.2015.79,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7424189,User-centered Design;Usability;Inter-municipal Cooperation;Dementia Assessment;Health Information System,Dementia;Usability;Information systems;Collaboration;Interviews;Conferences,,3,,30,IEEE,3-Mar-16,7-9 Dec. 2015,7-9 Dec. 2015,IEEE,IEEE Conferences
Digital imaging & electronic health record systems: Implementation and regulatory challenges faced by healthcare providers,T. C. Piliouras; R. J. Suss; P. L. Yu,"Center for Advanced Research on Emerging Healthcare Technologies Technical Consulting & Research, Inc., Weston, CT; Center for Advanced Research on Emerging Healthcare Technologies Technical Consulting & Research, Inc., Weston, CT; Center for Advanced Research on Emerging Healthcare Technologies Technical Consulting & Research, Inc., Weston, CT","2015 Long Island Systems, Applications and Technology",16-Jul-15,2015,,,1,6,"Electronic capture of patient records, including digital imaging, facilitates: i) collaboration and communication between providers and entities involved in patient care, ii) compilation of lifetime patient histories that are more accessible to treating physicians, and iii) aggregation of population data for evidence-based medicine and creation of decision support tools. The Medicare and Medicaid electronic health record (EHR) Incentive Programs and associated Meaningful Use (MU) requirements are a driving force in the evolution towards digitized patient recordkeeping. For the foreseeable future, MU will continue to exert pressure on EHR vendors, hospitals, and ambulatory practices to conform to increasingly stringent government reporting requirements or else face obsolescence and/or reduced fees for services. This is encouraging many practices - including radiology and digital imaging centers - that may have opted out of MU compliance in the past - to re-examine how they integrate their work flows with EHR systems and with other physicians and treatment facilities. This paper describes digital imaging technology and strategies to interface and integrate it with EHR systems and clinical work flows. A case study based on the open source electronic health record software, OpenEMR, is presented as an illustrative example of challenges integrating imaging and EHR technology across and between clinical practices. The case study demonstrates how poor EHR integration with picture archiving and communication systems (PACS) and radiology information systems (RIS) complicates and adds to the clinician work flow and reduces the diagnostic value of imaging data. EHR, PACS, and RIS vendors need to improve system interoperability and image sharing capabilities in their product offerings. Better, more complete standards are needed to enable this to happen. DICOM, HL7, IHE, and other standards are evolving to address gaps in data integration and continuity across the spectrum of health information technology used in patient care. This will alleviate burdens on healthcare professionals and information technology staff who must use and implement systems infrastructure while maintaining compliance with Meaningful Use (MU) and Health Insurance Portability and Accountability Act (HIPAA). This is essential to achieving technology's promise of optimized healthcare delivery.",,978-1-4799-8643-9,10.1109/LISAT.2015.7160179,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7160179,medical digital imaging;Health Insurance and Portability Act (HIPAA);Meaningful Use;DICOM format;OpenEMR;electronic healthcare records (EHR) systems;picture archiving and communication systems (PACS);radiology information systems (RIS),Medical services;DICOM;Picture archiving and communication systems;Medical diagnostic imaging;Digital images,,9,,28,IEEE,16-Jul-15,1-1 May 2015,1-1 May 2015,IEEE,IEEE Conferences
Overcoming E-health interoperability obstacles: Integrating PHR and EHR using HL7 CCD,P. Franček; I. Piljić; L. Dragić; H. Mlinanć; M. Kovač; D. Gvozdanović,"Faculty of Electrical Engineering and Computing/Department of Control and Computer Engineering, Zagreb, Croatia; Faculty of Electrical Engineering and Computing/Department of Control and Computer Engineering, Zagreb, Croatia; Faculty of Electrical Engineering and Computing/Department of Control and Computer Engineering, Zagreb, Croatia; Sveuciliste u Zagrebu, Zagreb, Zagreb, HR; Faculty of Electrical Engineering and Computing/Department of Control and Computer Engineering, Zagreb, Croatia; Engagement practice eHealth Ericsson Nikola Tesla d.d., Zagreb, Croatia",2015 57th International Symposium ELMAR (ELMAR),23-Nov-15,2015,,,73,76,"Reliable e-health system is a backbone of modern society. It is dependent to all constitute components and interaction among them. In this paper EHR and PHR are used for sharing data as an example of major components. Creating communication adapter, an interoperability solution has been proposed. Solution describes gathering data for PHR and, using URL link generated by a third party application, creation of EHR record for referencing medical images. Random link is generated and stored in EHR using CCD without compromising security, integrity or other requests required to operate with medical data.",,978-953-184-209-9,10.1109/ELMAR.2015.7334499,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7334499,E-health;Electronic Health Record;Personal Health Record;Continuity of Care Document,Medical services;Charge coupled devices;Interoperability;Standards;Biomedical imaging;Electronic medical records;Protocols,,3,,11,,23-Nov-15,28-30 Sept. 2015,28-30 Sept. 2015,IEEE,IEEE Conferences
Proposed cloud infrastructure of wearable and ubiquitous medical services,D. Tomtsis; S. Kontogiannis; G. Kokkonis; I. Kazanidis; S. Valsamidis,"Department of Business Administration, Technological Educational Institute of West Macedonia, Grevena, Greece; Department of Business Administration, Technological Educational Institute of West Macedonia, Grevena, Greece; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Accountancy, Technological Educational Institute of East Macedonia, Kavala, Greece; Department of Accountancy, Technological Educational Institute of East Macedonia, Kavala, Greece",2015 Fifth International Conference on Digital Information Processing and Communications (ICDIPC),12-Nov-15,2015,,,213,218,"A Wearable Health Monitoring system is described that uses low-cost off the shelf sensors and computing components, along with custom made software, to provide an economical solution to personalized health care monitoring problems, while retaining all the functionality and flexibility of more expensive systems. Cloud technology is used to store sensor measurements which are categorized based on the criticality of bio-signals. Furthermore, a new session protocol for medical sensor data transmission is proposed. In a prototype system, tests based on different transmission architectures have so far yielded useful and favorable results in comparison with existing protocols and usually more expensive systems.",,978-1-4673-6832-2,10.1109/ICDIPC.2015.7323031,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7323031,Medical monitoring systems;medical alert systems;wireless monitoring systems;medical sensors monitoring framework;monitoring protocols;Wearable Health Monitoring Systems (WHMS);Body Area Networks (BAN);Wireless Sensor Networks (WSN);ubiquitous health,Medical services;Monitoring;Protocols;Biomedical monitoring;Real-time systems;Temperature sensors,,7,,17,IEEE,12-Nov-15,7-9 Oct. 2015,7-9 Oct. 2015,IEEE,IEEE Conferences
Managing and sharing health data through Information Accountability protocols,D. Grunwell; P. Batista; S. Campos; T. Sahama,"Science and Engineering Faculty, Queensland University of Technology, Brisbane, Australia; Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Science and Engineering Faculty, Queensland University of Technology, Brisbane, Australia","2015 17th International Conference on E-health Networking, Application & Services (HealthCom)",19-Apr-16,2015,,,200,204,"Concerns over the security and privacy of patient information are one of the biggest hindrances to sharing health information and the wide adoption of eHealth systems. At present, there are competing requirements between healthcare consumers' (i.e. patients) requirements and healthcare professionals' (HCP) requirements. While consumers want control over their information, healthcare professionals want access to as much information as required in order to make well-informed decisions and provide quality care. In order to balance these requirements, the use of an Information Accountability Framework devised for eHealth systems has been proposed. In this paper, we take a step closer to the adoption of the Information Accountability protocols and demonstrate their functionality through an implementation in FluxMED, a customisable EHR system.",,978-1-4673-8325-7,10.1109/HealthCom.2015.7454498,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7454498,Access Control;electronic health records;EHR;eHealth;privacy;security,Protocols;Privacy;Security;Indexes;Diseases;Data privacy,,4,,20,IEEE,19-Apr-16,14-17 Oct. 2015,14-17 Oct. 2015,IEEE,IEEE Conferences
New ICT trends in solving the problem of accelerated population aging,R. I. Muhamedyev; A. T. Mansharipova; R. Butin; E. Muhamedyeva; N. Rakhimzhanova,"Institute of Information and Computer Technology, Almaty, Kazakhstan; Kazakh-Russian Medical University, Almaty, Kazakhstan; Institute of Information and Computer Technology, Almaty, Kazakhstan; Institute of Information and Computer Technology, Almaty, Kazakhstan; Institute of Information and Computer Technology, Almaty, Kazakhstan","2015 15th International Conference on Control, Automation and Systems (ICCAS)",28-Dec-15,2015,,,1969,1973,"The article examines the main trends in the development of geriatric service on the ground of increasing capabilities of ICT. In recent years, the measures to improve geriatric care of the population are taken in the Republic of Kazakhstan. Relevance of this issue is determined by a population aging on the one hand, and by RK humanization policy on the other hand. Consideration of these issues is impossible without corresponding data support, which is necessary for organizational tasks and for the entire cycle of medical data processing, starting from data collection, through a comprehensive analysis and issue of recommendation. Using modern software, communication and intelligent technologies promises not only improving of geriatric care quality but reducing the cost and social-economic benefits. The project of multi-level distributed personified electronic system is offered. The system would be based on results of researches in the field of AAL, M2M, machine learning, human behavior analysis etc. The main domains of the system are discussed briefly. An economic impact of the system realization is estimated approximately.",2093-7121,978-8-9932-1508-3,10.1109/ICCAS.2015.7364690,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7364690,Geriatric Care;Ambient Assisted Living;Machine Learning;Broadband Networks;Human behavior analysis;Information systems;M2M;Big Data;Computer Vision,Europe;5G mobile communication;Atmospheric measurements;Particle measurements;Gerontology;Sociology;Statistics,,,,38,,28-Dec-15,13-16 Oct. 2015,13-16 Oct. 2015,IEEE,IEEE Conferences
Reference Design for Smart Collaborative Telehealth and Telecare Services Based on IoT Technologies,M. Gerdes; F. Reichert; J. P. Nytun; R. Fensli,"Department of Information and Communication Technology, University of Agder, Grimstad, Norway; Department of Information and Communication Technology, University of Agder, Grimstad, Norway; Universitetet i Agder, Kristiansand, Vest-Agder, NO; Department of Information and Communication Technology, University of Agder, Grimstad, Norway",2015 International Conference on Computational Science and Computational Intelligence (CSCI),3-Mar-16,2015,,,817,820,"The demographic development shows aging societies through-out the globe, leading to higher demands on the health and care systems due to age-related disabilities, chronic diseases, etc. Telehealth and telecare services for more efficient support of health and care providers are needed, which can be significantly improved by the continuous technological developments in areas such as sensor devices, Internet of Things (IoT), cloud services, and data analysis. This paper addresses the potential of selected emerging technologies to make eHealth systems smarter, more collaborative and more efficient. As a result of the analysis of the most promising technological trends, characteristics of future telehealth and telecare services are derived, requirements are identified, and a future eHealth reference design is proposed.",,978-1-4673-9795-7,10.1109/CSCI.2015.135,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7424204,eHealth;health informatics;telehealth;secure health cloud architecture;decision support,Medical services;Collaboration;Actuators;Ontologies;Semantics;Robot sensing systems,,4,,8,IEEE,3-Mar-16,7-9 Dec. 2015,7-9 Dec. 2015,IEEE,IEEE Conferences
Comparison of low-power wireless communication technologies for wearable health-monitoring applications,M. Ghamari; H. Arora; R. S. Sherratt; W. Harwin,"SPHERE, School of Systems Engineering, University of Reading, Reading, UK; SPHERE, School of Systems Engineering, University of Reading, Reading, UK; SPHERE, School of Systems Engineering, University of Reading, Reading, UK; SPHERE, School of Systems Engineering, University of Reading, Reading, UK","2015 International Conference on Computer, Communications, and Control Technology (I4CT)",27-Aug-15,2015,,,1,6,"Health monitoring technologies such as Body Area Network (BAN) systems has gathered a lot of attention during the past few years. Largely encouraged by the rapid increase in the cost of healthcare services and driven by the latest technological advances in Micro-Electro-Mechanical Systems (MEMS) and wireless communications. BAN technology comprises of a network of body worn or implanted sensors that continuously capture and measure the vital parameters such as heart rate, blood pressure, glucose levels and movement. The collected data must be transferred to a local base station in order to be further processed. Thus, wireless connectivity plays a vital role in such systems. However, wireless connectivity comes at a cost of increased power usage, mainly due to the high energy consumption during data transmission. Unfortunately, battery-operated devices are unable to operate for ultra-long duration of time and are expected to be recharged or replaced once they run out of energy. This is not a simple task especially in the case of implanted devices such as pacemakers. Therefore, prolonging the network lifetime in BAN systems is one of the greatest challenges. In order to achieve this goal, BAN systems take advantage of low-power in-body and on-body/off-body wireless communication technologies. This paper compares some of the existing and emerging low-power communication protocols that can potentially be employed to support the rapid development and deployment of BAN systems.",,978-1-4799-7952-3,10.1109/I4CT.2015.7219525,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7219525,Health Monitoring;Body Area Networks;Wireless Communications,Wireless communication;Zigbee;Couplings;Protocols;Electrodes;Sensors;Wireless sensor networks,,24,,17,IEEE,27-Aug-15,21-23 April 2015,21-23 April 2015,IEEE,IEEE Conferences
